ort,cc,place_type,attractiveness_score,state_name
Grimstad,NO,medium_town,83,Agder
Almazán,ES,small_town,83,Castile and León
Beaufort,US,small_town,83,South Carolina
Casper,US,medium_town,83,Wyoming
Amasra,TR,small_town,83,Bartın
Klamath Falls,US,medium_town,83,Oregon
Ketchikan,US,small_town,83,Alaska
Plaža Pasjača,HR,beach,83,Dubrovnik-Neretva County
Lüsen,IT,village,83,Trentino – Alto Adige/Südtirol
Fuente-Álamo,ES,village,83,Castile-La Mancha
Noordwijk Beach,NL,beach,83,South Holland
Heiligenblut,AT,village,83,Kärnten
Alexandroupoli,GR,medium_town,83,Eastern Macedonia and Thrace
Guarda,PT,medium_town,83,Guarda
Aztec,US,small_town,83,New Mexico
Halden,NO,medium_town,83,Østfold
Brindisi,IT,medium_town,83,Apulia
Downpatrick,GB,small_town,83,County Down
Costa Brava,ES,beach,83,Catalonia
Dumas,US,small_town,83,Texas
Berovo,MK,small_town,83,Northeastern
Cabra del Santo Cristo,ES,village,83,Andalusia
Costa del Sol,ES,beach,83,Andalusia
Agrigento,IT,medium_town,83,Sicily
Herrera de Pisuerga,ES,village,83,Castile and León
Tuxcueca,MX,village,83,Jalisco
Fredrikstad,NO,medium_town,83,Østfold
Colby,US,small_town,83,Kansas
Hobro,DK,small_town,83,North
Crotone,IT,medium_town,83,Calabria
Bellingham,US,medium_town,83,Washington
Los Lunas,US,small_town,83,New Mexico
Jochberg,AT,village,83,Tirol
Arenas del Rey,ES,village,83,Andalusia
Pozo Alcón,ES,small_town,83,Andalusia
Dubois,US,village,83,Idaho
Guadarrama,ES,small_town,83,Community of Madrid
Guadalix de la Sierra,ES,small_town,83,Community of Madrid
